best_oa_location_landing_page_url,grants_funder_display_name,grants_award_id
https://doi.org/10.1016/j.isci.2024.108874,"National Science Foundation|National Science Foundation|National Science Foundation|Simons Foundation|College of Liberal Arts, Rochester Institute of Technology|National Institutes of Health|National Institute of General Medical Sciences",MRSEC DMR-2011846|DGE-2146755|DMR-1610737|null|null|R35GM147556|null
,National Science Foundation|National Institutes of Health,OAC-1920147|R01GM108021
,National Science Foundation|U.S. Department of Energy|U.S. Department of Energy|Simons Foundation|Air Force Office of Scientific Research,2210562|DE-SC0022102|DE-SC0009986|null|FA9550-19-1-0360
,National Science Foundation|U.S. Department of Energy|University of Maryland|Joint Quantum Institute|Office of Science|Basic Energy Sciences|Air Force Office of Scientific Research,DGE 2236417|DE-SC0001911|null|null|null|null|FA9550-19-1-0360
,National Science Foundation,DMR-2217543
https://doi.org/10.1103/physrevfluids.9.053902,National Science Foundation|U.S. Department of Energy|Office of Science|Basic Energy Sciences,NSF-DMR 2011854|DE-SC0020972|null|null
https://doi.org/10.1038/s42003-024-06203-8,National Science Foundation|National Institute of General Medical Sciences,DMS 1951369|R01GM152811
,National Science Foundation|Goldsmith Family Foundation|Human Frontier Science Program,DMR-2143670|null|null
https://doi.org/10.1103/physrevx.14.021027,"National Science Foundation|Agency for Science, Technology and Research|Cornell Center for Materials Research|Materials Research Science and Engineering Center, Harvard University|Division of Chemical, Bioengineering, Environmental, and Transport Systems|Division of Chemical, Bioengineering, Environmental, and Transport Systems|Division of Chemical, Bioengineering, Environmental, and Transport Systems|Division of Chemical, Bioengineering, Environmental, and Transport Systems|Division of Chemical, Bioengineering, Environmental, and Transport Systems",DGE-2139899|null|null|DMR-1719875|1804963|DMR-2327094|DMR-1507607|1509308|2228681
,National Science Foundation,1726346
https://doi.org/10.1103/physrevlett.132.202301,"National Science Foundation|U.S. Department of Energy|Alexander von Humboldt-Stiftung|Univerzita Karlova v Praze|Univerzita Karlova v Praze|Fundación BBVA|Canarie|Baden-Württemberg Stiftung|Karlsruhe Institute of Technology|“la Caixa” Foundation|Arizona-Nevada Academy of Science|TRIUMF|CERN|Centres de Recerca de Catalunya|Göran Gustafssons Stiftelser|Neubauer Family Foundation|Türkiye Enerji, Nükleer ve Maden Araştırma Kurumu|Canada Foundation for Innovation|Leverhulme Trust|Royal Society|European Commission|National Research Foundation|Helmholtz-Gemeinschaft|Deutsche Forschungsgemeinschaft|Agence Nationale de la Recherche|Agence Nationale de la Recherche|Agence Nationale de la Recherche|Ministry of Education, Culture, Sports, Science and Technology|Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung|Danmarks Grundforskningsfond|United States-Israel Binational Science Foundation|Fundação de Amparo à Pesquisa do Estado de São Paulo|National Natural Science Foundation of China|National Natural Science Foundation of China|Ministerstvo Školství, Mládeže a Tělovýchovy|Bundesministerium für Bildung und Forschung|Chinese Academy of Sciences|Austrian Science Fund|Generalitat de Catalunya|Ministry of Science and Technology of the People's Republic of China|Federación Española de Enfermedades Raras|Nederlandse Organisatie voor Wetenschappelijk Onderzoek|Generalitat Valenciana|Generalitat Valenciana|Bundesministerium für Wissenschaft, Forschung und Wirtschaft|Conselho Nacional de Desenvolvimento Científico e Tecnológico|Israel Science Foundation|Knut och Alice Wallenbergs Stiftelse|Max-Planck-Gesellschaft|Narodowe Centrum Nauki|Narodowe Centrum Nauki|Narodowe Centrum Nauki|Narodowe Centrum Nauki|Javna Agencija za Raziskovalno Dejavnost RS|Vetenskapsrådet|Centre National de la Recherche Scientifique|Ministerio de Ciencia e Innovación|Ministerio de Ciencia e Innovación|Food and Health Bureau|Norges Forskningsråd|Centre National pour la Recherche Scientifique et Technique|Commissariat à l'Énergie Atomique et aux Énergies Alternatives|Narodowa Agencja Wymiany Akademickiej|Institutul de Fizică Atomică|Agencia Nacional de Investigación y Desarrollo|Horizon 2020 Framework Programme|Natural Sciences and Engineering Research Council of Canada|National Research Council Canada|Science and Technology Facilities Council|Australian Research Council|Japan Society for the Promotion of Science|Japan Society for the Promotion of Science|Japan Society for the Promotion of Science|Fundação para a Ciência e a Tecnologia|Agencia Nacional de Promoción Científica y Tecnológica|Instituto Nazionale di Fisica Nucleare|British Columbia Knowledge Development Fund|European Regional Development Fund|Institut National de Physique Nucléaire et de Physique des Particules|Fondo Nacional de Desarrollo Científico y Tecnológico|Fondo Nacional de Desarrollo Científico y Tecnológico|Fondo Nacional de Desarrollo Científico y Tecnológico|European Social Fund|Brookhaven National Laboratory|H2020 European Research Council|H2020 Marie Skłodowska-Curie Actions|H2020 Marie Skłodowska-Curie Actions",null|null|null|UNCE SCI/013|PRIMUS 21/SCI/017|LEO22-1-603|null|null|null|null|null|null|null|null|null|null|null|null|RPG-2020-004|null|null|null|null|DFG–CR 312/5-1|ANR-21-CE31-0022|ANR-11-LABX-0012|ANR-20-CE31-0013|null|PCEFP2_194658|null|null|null|12275265|12175119|null|null|null|null|null|null|IDIFEDER/2018/048|Veni 2020–VI.Veni.202.179|CIDEGENT/2019/023|CIDEGENT/2019/027|null|null|null|null|null|UMO-2020/37/B/ST2/01043|2021/42/E/ST2/00350|OPUS nr 2022/47/B/ST2/03059|UMO-2019/34/E/ST2/00393|J1-3010|VR 2022-03845|null|RYC2019-028510-I|RYC2020-030254-I|null|RCN-314472|null|null|PPN/PPO/2020/1/00002/U/00001|null|null|MUCCA–CHIST-ERA-19-XAI-00|null|null|null|null|22H01227|JP21H05085|JP22H04944|null|null|754496|null|null|null|1190886|1210400|1230987|null|null|ERC–948254|101033496|EU H2020 MSC IF
https://doi.org/10.1112/jlms.12916,National Science Foundation|National Science Foundation|National Science Foundation|National Science Foundation|Deutsche Forschungsgemeinschaft,DMS‐2106906|DMS‐1840190|DMS‐1803368|DMS‐2202986|427320536 – SFB 1442
https://doi.org/10.1038/s41598-024-62158-0,National Science Foundation,DMR-1933525
https://doi.org/10.1103/physrevlett.132.221801,"National Science Foundation|U.S. Department of Energy|Alexander von Humboldt-Stiftung|Univerzita Karlova v Praze|Univerzita Karlova v Praze|Fundación BBVA|Canarie|Baden-Württemberg Stiftung|Karlsruhe Institute of Technology|“la Caixa” Foundation|Arizona-Nevada Academy of Science|TRIUMF|CERN|Centres de Recerca de Catalunya|Göran Gustafssons Stiftelser|Neubauer Family Foundation|Türkiye Enerji, Nükleer ve Maden Araştırma Kurumu|Canada Foundation for Innovation|Leverhulme Trust|Royal Society|European Commission|National Research Foundation|Helmholtz-Gemeinschaft|Deutsche Forschungsgemeinschaft|Deutsche Forschungsgemeinschaft|Deutsche Forschungsgemeinschaft|Agence Nationale de la Recherche|Agence Nationale de la Recherche|Agence Nationale de la Recherche|Ministry of Education, Culture, Sports, Science and Technology|Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung|Danmarks Grundforskningsfond|United States-Israel Binational Science Foundation|Fundação de Amparo à Pesquisa do Estado de São Paulo|National Natural Science Foundation of China|National Natural Science Foundation of China|Ministerstvo Školství, Mládeže a Tělovýchovy|Bundesministerium für Bildung und Forschung|Chinese Academy of Sciences|Austrian Science Fund|Generalitat de Catalunya|Ministry of Science and Technology of the People's Republic of China|Federación Española de Enfermedades Raras|Nederlandse Organisatie voor Wetenschappelijk Onderzoek|Generalitat Valenciana|Generalitat Valenciana|Bundesministerium für Wissenschaft, Forschung und Wirtschaft|Conselho Nacional de Desenvolvimento Científico e Tecnológico|Israel Science Foundation|Knut och Alice Wallenbergs Stiftelse|Knut och Alice Wallenbergs Stiftelse|Knut och Alice Wallenbergs Stiftelse|Knut och Alice Wallenbergs Stiftelse|Max-Planck-Gesellschaft|Narodowe Centrum Nauki|Narodowe Centrum Nauki|Narodowe Centrum Nauki|Narodowe Centrum Nauki|Narodowe Centrum Nauki|Narodowe Centrum Nauki|Javna Agencija za Raziskovalno Dejavnost RS|Vetenskapsrådet|Centre National de la Recherche Scientifique|Ministerio de Ciencia e Innovación|Ministerio de Ciencia e Innovación|Food and Health Bureau|Norges Forskningsråd|Centre National pour la Recherche Scientifique et Technique|Commissariat à l'Énergie Atomique et aux Énergies Alternatives|Narodowa Agencja Wymiany Akademickiej|Institutul de Fizică Atomică|Agencia Nacional de Investigación y Desarrollo|Horizon 2020 Framework Programme|Natural Sciences and Engineering Research Council of Canada|National Research Council Canada|Science and Technology Facilities Council|Australian Research Council|Japan Society for the Promotion of Science|Japan Society for the Promotion of Science|Japan Society for the Promotion of Science|Japan Society for the Promotion of Science|Fundação para a Ciência e a Tecnologia|Agencia Nacional de Promoción Científica y Tecnológica|Instituto Nazionale di Fisica Nucleare|British Columbia Knowledge Development Fund|European Regional Development Fund|Institut National de Physique Nucléaire et de Physique des Particules|Fondo Nacional de Desarrollo Científico y Tecnológico|Fondo Nacional de Desarrollo Científico y Tecnológico|Fondo Nacional de Desarrollo Científico y Tecnológico|European Social Fund|Brookhaven National Laboratory|H2020 European Research Council|H2020 European Research Council|H2020 Marie Skłodowska-Curie Actions",null|null|null|PRIMUS 21/SCI/017|UNCE SCI/013|LEO22-1-603|null|null|null|null|null|null|null|null|null|null|null|null|RPG-2020-004|null|null|null|null|CR 312/5-2|469666862|DFG–CR 312/5-1|ANR-11-LABX-0012|ANR-21-CE31-0022|ANR-20-CE31-0013|null|PCEFP2_194658|null|null|null|12175119|12275265|null|null|null|null|null|null|IDIFEDER/2018/048|Veni 2020–VI.Veni.202.179|CIDEGENT/2019/027|CIDEGENT/2019/023|null|null|null|KAW 2018.0157|KAW 2019.0447|KAW 2017.0100|KAW 2022.0358|null|OPUS nr 2022/47/B/ST2/03059|UMO-2021/40/C/ST2/00187|UMO-2020/37/B/ST2/01043|UMO-2019/34/E/ST2/00393|2021/42/E/ST2/00350|UMO-2022/47/O/ST2/00148|J1-3010|VR 2022-03845|null|RYC2019-028510-I|RYC2020-030254-I|null|RCN-314472|null|null|PPN/PPO/2020/1/00002/U/00001|null|null|MUCCA–CHIST-ERA-19-XAI-00|null|null|null|null|JP22H04944|22KK0227|22H01227|JP21H05085|null|null|null|null|null|null|1210400|1230987|1190886|null|null|ERC 101089007|ERC–948254|null
https://doi.org/10.1063/5.0202872,National Science Foundation,DMS-1853342
